x,y,z,rx,ry,rz
227.000,0.000,1749.000,180.000,-90.000,0.000
369.293,-3.710,1759.677,178.660,-74.047,11.033
298.027,154.295,1734.955,113.662,-70.818,64.355
112.642,96.160,1695.836,49.510,-70.412,140.732
76.380,-71.053,1692.370,-25.308,-70.130,-153.851
201.529,-146.313,1711.736,-84.274,-70.581,-104.258
370.233,-56.844,1756.354,-158.805,-73.000,-16.223
252.654,123.644,1735.521,101.037,-75.741,77.062
113.212,-21.020,1715.615,-1.366,-76.471,-171.321
245.856,-100.376,1741.053,-100.328,-78.388,-78.856
231.150,51.348,1743.642,94.420,-84.195,84.850
194.659,-88.110,1735.045,-65.389,-80.122,-109.149
228.861,-17.687,1751.406,-95.496,-87.383,-87.479
