x,y,z,rx,ry,rz
226.993,-0.005,1748.999,-119.428,-89.903,-60.524
369.281,-3.715,1759.670,179.001,-74.080,10.772
298.025,154.285,1734.970,114.781,-70.710,63.431
112.635,96.163,1695.839,49.534,-70.543,140.581
76.378,-71.040,1692.368,-25.579,-70.062,-153.832
201.531,-146.283,1711.707,-82.813,-70.488,-106.260
370.209,-56.864,1756.324,-157.913,-73.381,-16.588
252.647,123.636,1735.500,99.907,-75.920,78.234
113.202,-21.046,1715.622,-1.651,-76.636,-170.673
245.848,-100.379,1741.061,-101.149,-78.254,-78.021
231.144,51.337,1743.611,89.367,-84.324,90.023
194.650,-88.119,1735.055,-66.795,-80.108,-107.617
228.853,-17.724,1751.358,-77.751,-87.246,-104.532
